rank,gene,F_score,mean_CTL,mean_MCI,mean_AD,peak_stage,folds_selected,known_AD_gene
1,MRPL51,86.3,9.41,8.91,8.84,CTL,5,False
2,NDUFA1,83.5,11.59,10.62,10.5,CTL,5,True
3,ING3,74.6,8.51,8.1,8.12,CTL,5,False
4,SHFM1,73.8,9.65,8.72,8.66,CTL,5,False
5,NDUFS5,71.8,9.93,9.1,9.01,CTL,5,False
6,RPA3,68.5,8.77,8.31,8.34,CTL,5,False
7,HSPE1,68.3,9.36,8.57,8.6,CTL,5,False
8,ENY2,65.4,8.99,8.24,8.29,CTL,5,False
9,UQCRB,64.7,7.88,7.49,7.5,CTL,4,False
10,CALML4,64.6,9.05,8.65,8.66,CTL,4,False
11,TBCA,63.6,10.4,9.76,9.77,CTL,4,False
12,ATP5I,63.4,11.01,10.32,10.26,CTL,5,False
13,COX17,63.4,9.96,9.48,9.43,CTL,3,False
14,CETN2,60.7,9.74,9.5,9.4,CTL,2,False
15,RPS25,60.6,14.08,13.48,13.43,CTL,3,False
